G4;1;0.428571429;0
A4;1;0.428571429;0.428571429
Bb4;1;0.428571429;0.857142858
Eb5;5;2.142857143;1.285714287
F4;1;0.428571429;3.42857143
G4;1;0.428571429;3.857142859
A4;1;0.428571429;4.285714288
D5;2;0.857142857;4.714285717
D5;3;1.285714286;5.571428574
Eb4;1;0.428571429;6.85714286
F4;1;0.428571429;7.285714289
G4;1;0.428571429;7.714285718
C5;5;2.142857143;8.142857147
D4;1;0.428571429;10.28571429
E4;1;0.428571429;10.71428572
Gb4;1;0.428571429;11.14285715
Bb4;4;1.714285714;11.57142858
G4;1;0.428571429;13.71428572
A4;1;0.428571429;14.14285715
Bb4;1;0.428571429;14.57142858
Eb5;5;2.142857143;15.00000001
F4;1;0.428571429;17.14285715
G4;1;0.428571429;17.57142858
A4;1;0.428571429;18.00000001
D5;2;0.857142857;18.42857144
D5;3;1.285714286;19.28571429
Eb4;1;0.428571429;20.57142858
F4;1;0.428571429;21.00000001
G4;1;0.428571429;21.42857144
C5;5;2.142857143;21.85714287
A4;1;0.428571429;24.00000001
C5;1;0.428571429;24.42857144
Bb4;1;0.428571429;24.85714287
G4;4;1.714285714;25.2857143
Gb4;1;0.428571429;27.85714287
G4;1;0.428571429;28.2857143
A4;1;0.428571429;28.71428573
D4;1;0.428571429;29.14285715
A4;3;1.285714286;29.57142858
A4;1;0.428571429;30.85714287
G4;1;0.428571429;31.2857143
A4;1;0.428571429;31.71428573
Bb4;5;2.142857143;32.14285716
Bb4;1;0.428571429;34.2857143
A4;1;0.428571429;34.71428573
Bb4;1;0.428571429;35.14285716
C5;5;2.142857143;35.57142859
F4;1;0.428571429;37.71428573
F5;1;0.428571429;38.14285716
Eb5;1;0.428571429;38.57142859
D5;6;2.571428571;39.00000002
Db5;1;0.428571429;41.57142859
D5;1;0.428571429;42.00000002
Eb5;1;0.428571429;42.42857145
Eb5;1;0.428571429;42.85714287
C5;1;0.428571429;43.2857143
C5;1;0.428571429;43.71428573
A4;3;1.285714286;44.14285716
Eb5;1;0.428571429;45.42857145
D5;2;0.857142857;45.85714288
D5;4;1.714285714;46.71428573
G4;2;0.857142857;48.42857145
C5;3;1.285714286;49.2857143
Bb4;1;0.428571429;50.57142859
A4;2;0.857142857;51.00000002
Bb4;1;0.428571429;51.85714288
D4;1;0.428571429;52.28571431
G4;4;1.714285714;52.71428573
