Acc_valeurX;Acc_valeurY;Acc_tpsDepuisDebut;MT_note;MT_doigt;MT_tpsPresse;MT_tpsDepuisDebut;Perf_idMorceau;Perf_nbFaussesNotes;Perf_nbNotesTotal
-1054;7969;-2.981;4;0;0.601;-0.083;2;8;67
-1054;7969;-2.981;5;1;0.636;0.267;2;8;67
-1054;7969;-2.981;19;2;0.544;0.617;2;8;67
-1054;7969;-2.981;3;0;0.599;3.265;2;8;67
-1054;7969;-2.981;4;1;0.638;3.615;2;8;67
-1054;7969;-2.981;5;2;0.623;4.015;2;8;67
-1054;7969;-2.981;8;4;2.410;4.415;2;8;67
-1054;7969;-2.981;16;0;0.651;6.564;2;8;67
-1054;7969;-2.981;2;1;0.328;7.014;2;8;67
-1054;7969;-2.981;3;2;0.236;7.364;2;8;67
-1054;7969;-2.981;4;2;0.371;7.614;2;8;67
-1054;7969;-2.981;7;4;2.540;7.763;2;8;67
-1054;7969;-2.981;1;0;0.680;10.012;2;8;67
-1054;7969;-2.981;2;1;0.665;10.412;2;8;67
-1054;7969;-2.981;17;2;0.650;10.812;2;8;67
-1054;7969;-2.981;4;4;0.201;11.261;2;8;67
-1054;7969;-2.981;19;4;2.141;11.512;2;8;67
-1054;7969;-2.981;4;0;0.655;13.511;2;8;67
-1054;7969;-2.981;5;1;0.644;13.910;2;8;67
-1054;7969;-2.981;19;2;0.552;14.260;2;8;67
-1054;7969;-2.981;21;4;2.417;14.710;2;8;67
-1054;7969;-2.981;3;0;0.657;16.859;2;8;67
-1054;7969;-2.981;4;1;0.642;17.259;2;8;67
-1054;7969;-2.981;5;2;0.627;17.659;2;8;67
-1054;7969;-2.981;8;4;2.496;18.108;2;8;67
-1054;7969;-2.981;16;0;0.586;20.407;2;8;67
-1054;7969;-2.981;3;1;0.748;20.757;2;8;67
-1054;7969;-2.981;4;2;0.557;21.207;2;8;67
-1054;7969;-2.981;7;4;2.347;21.607;2;8;67
-1054;7969;-2.981;5;2;0.683;23.656;2;8;67
-1054;7969;-2.981;7;4;0.619;24.105;2;8;67
-1054;7969;-2.981;19;3;0.608;24.505;2;8;67
-1054;7969;-2.981;4;1;2.346;24.955;2;8;67
-1054;7969;-2.981;17;1;0.679;27.654;2;8;67
-1054;7969;-2.981;4;2;0.665;28.053;2;8;67
-1054;7969;-2.981;5;3;0.500;28.603;2;8;67
-1054;7969;-2.981;1;0;0.639;28.853;2;8;67
-1054;7969;-2.981;5;3;1.783;29.253;2;8;67
-1054;7969;-2.981;5;2;0.600;30.952;2;8;67
-1054;7969;-2.981;4;1;0.585;31.352;2;8;67
-1054;7969;-2.981;5;2;0.620;31.702;2;8;67
-1054;7969;-2.981;19;3;0.302;32.151;2;8;67
-1054;7969;-2.981;19;3;1.881;32.501;2;8;67
-1054;7969;-2.981;19;1;0.607;34.550;2;8;67
-1054;7969;-2.981;5;0;0.641;34.900;2;8;67
